original_index,TGL_LAHIR,JENIS_KELAMIN,TANGGAL_DAFTAR,KECAMATAN,PENDIDIKAN,JURUSAN,TAHUN_LULUS,Keterampilan,UPAH_DIINGINKAN,JABATAN_DIINGINKAN,WILAYAH_DIINGINKAN,WILAYAH_DIINGINKAN_DETAIL,UMUR_SAAT_DAFTAR,JABATAN_DIINGINKAN_Normalized,wilayah_diinginkan_detail_normalized,keterampilan_cleaned
0,['1996-09-01'],['l'],['2021-11-02'],['tamansari'],['smk'],['teknik mesin'],['2015.0'],[],['rp 2.500.001 - rp 5.000.000'],['apasaja'],['di dalam negeri'],['tasikmalaya'],['25'],['lain-lain'],['tasikmalaya'],[]
1,['2003-04-08'],['p'],['2021-11-02'],['cihideung'],['sma / lainnya'],['ips'],['2021.0'],['ms office'],['rp 1.000.001 - rp 2.500.000'],['apa saja'],['di dalam negeri'],['tasikmalaya'],['18'],['lain-lain'],['tasikmalaya'],['microsoft office']
2,['1999-09-01'],['p'],['2021-11-02'],['cibeureum'],['d.iii'],['keperawatan'],['2021.0'],[],['rp 2.500.001 - rp 5.000.000'],['perawat'],['di dalam negeri'],['jawa barat'],['22'],['perawat'],['jawa barat'],[]
3,['1979-11-15'],['p'],['2021-11-03'],['cibeureum'],['smk'],['sekertaris'],['1997.0'],['memasak'],['rp 2.500.001 - rp 5.000.000'],['karyawan'],['di dalam negeri'],['jawa barat'],['41'],['pekerja umum'],['jawa barat'],['memasak']
4,['1999-09-16'],['p'],['2021-11-03'],['cibeureum'],['d.iii'],['d3 keperawatan'],['2021.0'],['himpunan mahasiswa d3 keperawatan'],['rp 2.500.001 - rp 5.000.000'],['kepala rumah sakit'],['di dalam negeri'],['tasikmalaya'],['22'],['manajemen/direksi'],['tasikmalaya'],['keperawatan']
5,['2002-12-04'],['p'],['2021-11-03'],['mangkubumi'],['sma / lainnya'],['ips'],['2021.0'],['olahraga'],['rp 2.500.001 - rp 5.000.000'],['pembisnis'],['di dalam negeri'],['tasikmalaya'],['18'],['bisnis/wirausaha'],['tasikmalaya'],['olahraga']
6,['1999-04-13'],['l'],['2021-11-03'],['cihideung'],['d.iv'],['teknik elektro'],['2021.0'],['sepakbola'],['rp 5.000.001 - rp 10.000.000'],['production enginerring'],['di dalam negeri'],['karawang bekasi cikarang'],['22'],['produksi/operasional'],"['bekasi', 'cikarang', 'karawang']",['sepak bola']
7,['1999-04-10'],['p'],['2021-11-03'],['cihideung'],['s1'],['manajemen'],['2021.0'],['olahraga'],['rp 5.000.001 - rp 10.000.000'],['akuntan  staff admin'],['di dalam negeri'],['bandung karawang bekasi'],['22'],['administrasi/staf umum'],"['bandung', 'bekasi', 'karawang']",['olahraga']
8,['1997-04-18'],['l'],['2021-11-03'],['mangkubumi'],['smk'],['otomotif'],['2017.0'],['olahraga calistenic'],['rp 2.500.001 - rp 5.000.000'],['administrasi'],['di dalam negeri'],['tasikmalaya'],['24'],['administrasi/staf umum'],['tasikmalaya'],['olahraga']
9,['2002-07-18'],['l'],['2021-11-03'],['bungursari'],['sma / lainnya'],['ips'],['2021.0'],['berenang'],['0 - rp 1.000.000'],['karyawan tetap'],['di dalam negeri'],['jakarta'],['19'],['pekerja umum'],['jakarta'],['renang']
10,['2001-12-21'],['l'],['2021-11-03'],['mangkubumi'],['smk'],['tkr otomotif'],['2021.0'],['automotif olahraga'],['rp 5.000.001 - rp 10.000.000'],['karyawan'],['di dalam negeri'],['bekasi'],['19'],['pekerja umum'],['bekasi'],"['olahraga', 'otomotif']"
11,['2000-04-12'],['l'],['2021-11-03'],['cipedes'],['sma / lainnya'],['ipa'],['2019.0'],['futsal'],['rp 5.000.001 - rp 10.000.000'],['pns'],['di dalam negeri'],['tasikmalaya'],['21'],['pelayanan publik/pemerintahan'],['tasikmalaya'],['futsal']
12,['1999-02-13'],['p'],['2021-11-03'],['cibeureum'],['sma / lainnya'],['ips'],['2017.0'],['bernyanyi'],['0 - rp 1.000.000'],['helper packaging'],['di dalam negeri'],['bandung'],['22'],['logistik/gudang'],['bandung'],['menyanyi']
13,['2003-04-05'],['p'],['2021-11-04'],['cipedes'],['sma / lainnya'],['ipa'],['2021.0'],['editing'],['rp 2.500.001 - rp 5.000.000'],['pegawai'],['di dalam negeri'],['bandung'],['18'],['pekerja umum'],['bandung'],['editing']
14,['2000-10-03'],['l'],['2021-11-04'],['indihiang'],['smk'],['mesin produksi'],['2019.0'],['basket dan musik'],['0 - rp 1.000.000'],['maneger'],['di luar negeri'],['dimana saja'],['21'],['manajemen/direksi'],['lokasi tidak spesifik'],"['basket', 'musik']"
15,['2002-04-01'],['p'],['2021-11-04'],['cihideung'],['sma / lainnya'],['ilmu pengetahuan sosial'],['2021.0'],['olahraga'],['rp 2.500.001 - rp 5.000.000'],['operator produksi'],['di dalam negeri'],['kabupaten karawang barat'],['19'],['produksi/operasional'],['karawang'],['olahraga']
